course_number,title,instructor,type,credit_hrs,days,times,reserved_majors,reserved_majors_limit,enrolled,enrolled_limit
CSE 116,Introduction to Computer Science II,Paul Dickson,LAB,4.00,W,12:00PM-1:50PM,0,0,28,28
CSE 116,Introduction to Computer Science II,Paul Dickson,LAB,4.00,W,2:00PM-3:50PM,0,0,28,28
CSE 116,Introduction to Computer Science II,Paul Dickson,LAB,4.00,W,7:00PM-8:50PM,0,0,24,28
CSE 116,Introduction to Computer Science II,Paul Dickson,LEC,4.00,MWF,10:00AM-10:50AM,0,0,92,112
CSE 116,Introduction to Computer Science II,Paul Dickson,LEC,4.00,MWF,12:00PM-12:50PM,0,0,94,112
CSE 116,Introduction to Computer Science II,Jesse L. Hartloff,LEC,4.00,MWF,1:00PM-1:50PM,0,0,112,112
CSE 116,Introduction to Computer Science II,Jesse L. Hartloff,LEC,4.00,MWF,2:00PM-2:50PM,0,0,103,112
CSE 116,Introduction to Computer Science II,Jesse L. Hartloff,LEC,4.00,MWF,3:00PM-3:50PM,0,0,107,112
CSE 191,Introduction to Discrete Structures,Eric Mikida,LEC,4.00,MWF,9:00AM-9:50AM,0,0,100,100
CSE 191,Introduction to Discrete Structures,Nasrin Akhter,LEC,4.00,MWF,2:00PM-2:50PM,0,0,159,159
CSE 191,Introduction to Discrete Structures,Matthew Knepley,LEC,4.00,TR,2:00PM-3:20PM,0,0,161,161
CSE 191,Introduction to Discrete Structures,Nasrin Akhter,REC,4.00,F,5:00PM-5:50PM,0,0,52,52
CSE 191,Introduction to Discrete Structures,Eric Mikida,REC,4.00,F,5:00PM-5:50PM,0,0,16,16
CSE 191,Introduction to Discrete Structures,Matthew Knepley,REC,4.00,M,9:00AM-9:50AM,0,0,53,53
CSE 191,Introduction to Discrete Structures,Eric Mikida,REC,4.00,M,3:00PM-3:50PM,0,0,45,45
CSE 191,Introduction to Discrete Structures,Nasrin Akhter,REC,4.00,M,6:00PM-6:50PM,0,0,54,54
CSE 191,Introduction to Discrete Structures,Matthew Knepley,REC,4.00,R,6:30PM-7:20PM,0,0,54,54
CSE 191,Introduction to Discrete Structures,Matthew Knepley,REC,4.00,W,10:00AM-10:50AM,0,0,54,54
CSE 191,Introduction to Discrete Structures,Nasrin Akhter,REC,4.00,W,12:00PM-12:50PM,0,0,53,53
CSE 191,Introduction to Discrete Structures,Eric Mikida,REC,4.00,W,4:00PM-4:50PM,0,0,39,39
CSE 220,Systems Programming,Ethan Blanton,LAB,4.00,R,8:00AM-10:00AM,0,0,25,25
CSE 220,Systems Programming,Ethan Blanton,LAB,4.00,R,10:00AM-12:00PM,0,0,25,25
CSE 220,Systems Programming,Ethan Blanton,LAB,4.00,R,12:30PM-2:30PM,0,0,25,25
CSE 220,Systems Programming,Carl Alphonce,LAB,4.00,R,2:30PM-4:30PM,0,0,25,25
CSE 220,Systems Programming,Ethan Blanton,LAB,4.00,R,5:00PM-7:00PM,0,0,25,25
CSE 220,Systems Programming,Carl Alphonce,LAB,4.00,W,8:00AM-10:00AM,0,0,25,25
CSE 220,Systems Programming,Carl Alphonce,LAB,4.00,W,10:00AM-12:00PM,0,0,25,25
CSE 220,Systems Programming,Carl Alphonce,LAB,4.00,W,12:00PM-2:00PM,0,0,25,25
CSE 220,Systems Programming,Carl Alphonce,LAB,4.00,W,2:00PM-4:00PM,0,0,25,25
CSE 220,Systems Programming,Ethan Blanton,LAB,4.00,W,5:00PM-7:00PM,0,0,25,25
CSE 220,Systems Programming,Ethan Blanton,LEC,4.00,MWF,9:00AM-9:50AM,0,0,125,125
CSE 220,Systems Programming,Carl Alphonce,LEC,4.00,MWF,4:00PM-4:50PM,0,0,125,125
CSE 241,Digital Systems,Jennifer Winikus,LAB,4.00,F,12:00PM-1:50PM,0,0,11,18
CSE 241,Digital Systems,Jennifer Winikus,LAB,4.00,M,3:00PM-4:50PM,0,0,15,17
CSE 241,Digital Systems,Jennifer Winikus,LAB,4.00,R,9:30AM-11:20AM,0,0,18,18
CSE 241,Digital Systems,Jennifer Winikus,LAB,4.00,W,4:00PM-5:50PM,0,0,11,18
CSE 241,Digital Systems,Jennifer Winikus,LEC,4.00,MWF,10:00AM-10:50AM,0,0,55,71
CSE 250,Data Structures,Eric Mikida,LEC,4.00,MWF,1:00PM-1:50PM,0,0,226,235
CSE 250,Data Structures,Eric Mikida,REC,4.00,M,9:00AM-9:50AM,0,0,3,25
CSE 250,Data Structures,Eric Mikida,REC,4.00,M,2:00PM-2:50PM,0,0,26,26
CSE 250,Data Structures,Eric Mikida,REC,4.00,M,3:00PM-3:50PM,0,0,26,26
CSE 250,Data Structures,Eric Mikida,REC,4.00,M,4:00PM-4:50PM,0,0,26,26
CSE 250,Data Structures,Eric Mikida,REC,4.00,M,5:00PM-5:50PM,0,0,26,26
CSE 250,Data Structures,Eric Mikida,REC,4.00,T,12:00PM-12:50PM,0,0,17,25
CSE 250,Data Structures,Eric Mikida,REC,4.00,T,1:00PM-1:50PM,0,0,25,26
CSE 250,Data Structures,Eric Mikida,REC,4.00,T,4:00PM-4:50PM,0,0,26,26
CSE 250,Data Structures,Eric Mikida,REC,4.00,T,5:00PM-5:50PM,0,0,26,26
CSE 250,Data Structures,Eric Mikida,REC,4.00,T,6:00PM-6:50PM,0,0,25,26
CSE 305,Introduction to Programming Languages,Kenneth W. Regan,LEC,4.00,TR,11:00AM-12:20PM,0,0,70,97
CSE 305,Introduction to Programming Languages,Kenneth W. Regan,REC,4.00,M,1:00PM-1:50PM,0,0,23,26
CSE 305,Introduction to Programming Languages,Kenneth W. Regan,REC,4.00,T,8:00AM-8:50AM,0,0,11,26
CSE 305,Introduction to Programming Languages,Kenneth W. Regan,REC,4.00,T,2:00PM-2:50PM,0,0,24,26
CSE 305,Introduction to Programming Languages,Kenneth W. Regan,REC,4.00,W,4:00PM-4:50PM,0,0,12,19
CSE 306,Software Quality in Practice,Carl Alphonce,LAB,4.00,TR,2:00PM-4:00PM,0,0,26,25
CSE 306,Software Quality in Practice,Carl Alphonce,LAB,4.00,TR,4:00PM-6:00PM,0,0,24,25
CSE 306,Software Quality in Practice,Carl Alphonce,LAB,4.00,TR,6:00PM-8:00PM,0,0,24,25
CSE 306,Software Quality in Practice,Carl Alphonce,LAB,4.00,TR,8:00PM-10:00PM,0,0,25,25
CSE 306,Software Quality in Practice,Carl Alphonce,LEC,4.00,MW,8:00AM-8:50AM,0,0,99,100
CSE 312,Introduction to Web Applications,Jesse L. Hartloff,LEC,4.00,MWF,4:00PM-4:50PM,0,0,120,120
CSE 312,Introduction to Web Applications,Jesse L. Hartloff,REC,4.00,F,1:00PM-1:50PM,0,0,30,30
CSE 312,Introduction to Web Applications,Jesse L. Hartloff,REC,4.00,F,2:00PM-2:50PM,0,0,31,30
CSE 312,Introduction to Web Applications,Jesse L. Hartloff,REC,4.00,M,9:00AM-9:50AM,0,0,30,30
CSE 312,Introduction to Web Applications,Jesse L. Hartloff,REC,4.00,T,9:30AM-10:20AM,0,0,29,30
CSE 331,Algorithms and Complexity,Nasrin Akhter,LEC,4.00,MWF,10:00AM-10:50AM,0,0,99,104
CSE 331,Algorithms and Complexity,Nasrin Akhter,LEC,4.00,MWF,12:00PM-12:50PM,0,0,114,114
CSE 331,Algorithms and Complexity,Nasrin Akhter,REC,4.00,M,10:00AM-10:50AM,0,0,27,27
CSE 331,Algorithms and Complexity,Nasrin Akhter,REC,4.00,M,4:00PM-4:50PM,0,0,30,30
CSE 331,Algorithms and Complexity,Nasrin Akhter,REC,4.00,M,6:00PM-6:50PM,0,0,24,26
CSE 331,Algorithms and Complexity,Nasrin Akhter,REC,4.00,T,9:30AM-10:20AM,0,0,25,26
CSE 331,Algorithms and Complexity,Nasrin Akhter,REC,4.00,T,12:30PM-1:20PM,0,0,28,29
CSE 331,Algorithms and Complexity,Nasrin Akhter,REC,4.00,T,5:00PM-5:50PM,0,0,24,26
CSE 331,Algorithms and Complexity,Nasrin Akhter,REC,4.00,W,5:00PM-5:50PM,0,0,26,26
CSE 331,Algorithms and Complexity,Nasrin Akhter,REC,4.00,W,5:00PM-5:50PM,0,0,29,28
CSE 341,Computer Organization,Farshad Ghanei,LEC,4.00,TR,2:00PM-3:20PM,0,0,120,120
CSE 341,Computer Organization,Farshad Ghanei,LEC,4.00,TR,5:00PM-6:20PM,0,0,119,120
CSE 341,Computer Organization,Farshad Ghanei,REC,4.00,F,11:00AM-11:50AM,0,0,24,24
CSE 341,Computer Organization,Farshad Ghanei,REC,4.00,F,6:30PM-7:20PM,0,0,24,24
CSE 341,Computer Organization,Farshad Ghanei,REC,4.00,M,9:00AM-9:50AM,0,0,23,24
CSE 341,Computer Organization,Farshad Ghanei,REC,4.00,M,10:00AM-10:50AM,0,0,24,24
CSE 341,Computer Organization,Farshad Ghanei,REC,4.00,M,1:00PM-1:50PM,0,0,24,24
CSE 341,Computer Organization,Farshad Ghanei,REC,4.00,R,8:00PM-8:50PM,0,0,24,24
CSE 341,Computer Organization,Farshad Ghanei,REC,4.00,T,8:30AM-9:20AM,0,0,24,24
CSE 341,Computer Organization,Farshad Ghanei,REC,4.00,T,9:30AM-10:20AM,0,0,24,24
CSE 341,Computer Organization,Farshad Ghanei,REC,4.00,W,10:00AM-10:50AM,0,0,24,24
CSE 341,Computer Organization,Farshad Ghanei,REC,4.00,W,1:00PM-1:50PM,0,0,24,24
CSE 370,Applied Human Computer Interaction and Interface Design,Alan M. Hunt,LEC,4.00,MWF,2:00PM-2:50PM,0,0,62,62
CSE 370,Applied Human Computer Interaction and Interface Design,Alan M. Hunt,REC,4.00,T,2:00PM-2:50PM,0,0,31,30
CSE 370,Applied Human Computer Interaction and Interface Design,Alan M. Hunt,REC,4.00,T,3:00PM-3:50PM,0,0,31,31
CSE 379,Introduction to Microprocessors,Kris D. Schindler,LAB,4.00,TR,12:30PM-1:50PM,0,0,23,21
CSE 379,Introduction to Microprocessors,Kris D. Schindler,LAB,4.00,TR,2:00PM-3:20PM,0,0,20,21
CSE 379,Introduction to Microprocessors,Kris D. Schindler,LAB,4.00,TR,5:00PM-6:20PM,0,0,21,21
CSE 379,Introduction to Microprocessors,Kris D. Schindler,LAB,4.00,TR,6:30PM-7:50PM,0,0,19,22
CSE 379,Introduction to Microprocessors,Kris D. Schindler,LEC,4.00,MWF,11:00AM-11:50AM,0,0,83,85
CSE 404,Software Project Management,Alan M. Hunt,LEC,3.00,MWF,3:00PM-3:50PM,0,0,29,30
CSE 404,Software Project Management,Alan M. Hunt,REC,3.00,F,6:00PM-6:50PM,0,2,3,2
CSE 404,Software Project Management,Alan M. Hunt,REC,3.00,M,10:00AM-10:50AM,0,2,3,2
CSE 404,Software Project Management,Alan M. Hunt,REC,3.00,M,11:00AM-11:50AM,0,2,3,2
CSE 404,Software Project Management,Alan M. Hunt,REC,3.00,M,12:00PM-12:50PM,0,2,2,2
CSE 404,Software Project Management,Alan M. Hunt,REC,3.00,M,1:00PM-1:50PM,0,2,2,2
CSE 404,Software Project Management,Alan M. Hunt,REC,3.00,M,6:00PM-6:50PM,0,2,3,2
CSE 404,Software Project Management,Alan M. Hunt,REC,3.00,T,11:00AM-11:50AM,0,2,2,2
CSE 404,Software Project Management,Alan M. Hunt,REC,3.00,T,2:00PM-2:50PM,0,4,4,4
CSE 404,Software Project Management,Alan M. Hunt,REC,3.00,T,3:00PM-3:50PM,0,4,7,4
CSE 410,Special Topics: Computer Security,Ziming Zhao,LEC,1.00-3.00,MW,4:00PM-5:20PM,0,14,12,14
CSE 410,Special Topics: Internet-Scale Systems Design,Matthew D. Stock,LEC,1.00-3.00,MWF,5:00PM-5:50PM,0,10,9,10
CSE 421,Introduction to Operating Systems,Farshad Ghanei,LEC,3.00,TR,11:00AM-12:20PM,0,0,54,70
CSE 426,Blockchain Application Development,Bina Ramamurthy,LEC,3.00,F,4:00PM-7:00PM,0,0,41,41
CSE 427,Systems Security,Staff,LEC,3.00,R,6:30PM-9:30PM,0,12,15,12
CSE 429,Algorithms for Modern Computing Systems,Russ Miller,LEC,3.00,TR,2:00PM-3:20PM,0,0,60,60
CSE 431,Algorithms Analysis and Design,Thomas Hayes,LEC,3.00,MWF,9:00AM-9:50AM,0,0,33,33
CSE 440,Machine Learning and Society for Majors,Atri Rudra,LEC,3.00,MW,10:00AM-11:20AM,0,12,9,12
CSE 441,Machine Learning and Society for Non-Majors,Atri Rudra,LEC,3.00,MW,10:00AM-11:20AM,0,10,2,10
CSE 442,Software Engineering,Matthew Hertz,LEC,4.00,MWF,3:00PM-3:50PM,0,0,169,169
CSE 442,Software Engineering,Matthew Hertz,REC,4.00,F,6:00PM-6:50PM,0,0,19,20
CSE 442,Software Engineering,Matthew Hertz,REC,4.00,M,10:00AM-10:50AM,0,0,19,20
CSE 442,Software Engineering,Matthew Hertz,REC,4.00,M,11:00AM-11:50AM,0,0,18,20
CSE 442,Software Engineering,Matthew Hertz,REC,4.00,M,12:00PM-12:50PM,0,0,19,20
CSE 442,Software Engineering,Matthew Hertz,REC,4.00,M,1:00PM-1:50PM,0,0,18,20
CSE 442,Software Engineering,Matthew Hertz,REC,4.00,M,6:00PM-6:50PM,0,0,18,20
CSE 442,Software Engineering,Matthew Hertz,REC,4.00,T,11:00AM-11:50AM,0,0,19,20
CSE 442,Software Engineering,Matthew Hertz,REC,4.00,T,2:00PM-2:50PM,0,0,19,20
CSE 442,Software Engineering,Matthew Hertz,REC,4.00,T,3:00PM-3:50PM,0,0,20,20
CSE 443,Compilers,Carl Alphonce,LEC,3.00,MWF,9:00AM-9:50AM,0,0,29,30
CSE 445,Coding Theory,Atri Rudra,LEC,3.00,MWF,4:00PM-4:50PM,0,0,43,60
CSE 446,Reinforcement Learning,Alina Vereshchaka,LEC,3.00,TR,12:30PM-1:50PM,0,0,13,15
CSE 453,Hardware/Software Integrated Systems Design 2,Kris D. Schindler,LEC,3.00,MWF,12:00PM-12:50PM,0,0,30,40
CSE 460,Data Models and Query Languages,Sreyasee Das Bhattacharjee,LEC,3.00,TR,9:30AM-10:50AM,0,0,3,3
CSE 460,Data Models and Query Languages,Shamsad Parvin,LEC,3.00,TR,11:00AM-12:20PM,0,0,28,34
CSE 462,Database Systems,Zhuoyue Zhao,LEC,3.00,TR,11:00AM-12:20PM,0,0,8,10
CSE 467,Computational Linguistics,Staff,LEC,3.00,MW,4:00PM-4:50PM,0,0,28,29
CSE 468,Robotics Algorithms,Karthik Dantu,LEC,3.00,MWF,4:00PM-4:50PM,0,0,17,35
CSE 473,Introduction to Computer Vision and Image Processing,Chen Wang,LEC,3.00,TR,9:30AM-10:50AM,0,0,38,40
CSE 473,Introduction to Computer Vision and Image Processing,David Doermann,LEC,3.00,TR,6:30PM-7:50PM,0,0,0,0
CSE 474,Introduction to Machine Learning,Wen Dong,LEC,3.00,TR,3:30PM-4:50PM,0,0,46,47
CSE 474,Introduction to Machine Learning,Alina Vereshchaka,LEC,3.00,TR,6:30PM-7:50PM,0,0,71,74
